edition_key,description,notes,first_sentence
OL38344800M,"Dominic Stanton...
Quatre ans après leur rupture, la seule mention de ce nom suffit encore à faire battre le coeur de Madeline à coups redoublés. Pourtant, au cours de ces quatres années, elle a tout fait pour oublier ses brèves fiançailles avec l'irrésistible héros de son adolescence : elle est allée jusqu'à quitter le pays et couper les ponts avec tous ses amis dans l'espoir de guérir son terrible chagrin d'amour.
y est-elle parvenue ? elle ne va pas tarder à le découvrir : en effet, elle vient de recevoir une lettre de sa soeur la suppliant de venir en Angleterre pour assiter à son mariage. Nul doute qu'elle sera alors amenée à revoir Dominic...
L'heure de vérité à sonné !",,
OL32301034M,,Source title: Twisted Love: A Brother's Best Friend Romance,
OL28002476M,,Source title: De wrede prins: Deel 1 van de Elfhame-serie,
OL28478001M,,Source title: The Cruel Prince: 1 (The Folk of the Air),
OL26435884M,"Jude, seventeen and mortal, gets tangled in palace intrigues while trying to win a place in the treacherous High Court of Faerie, where she and her sisters have lived for a decade.",,
OL40729418M,"Lily Bloom continua administrando uma floricultura. Seu ex-marido abusivo, Ryle Kincaid, ainda é um cirurgião. Mas agora os dois estão oficialmente divorciados e dividem a guarda da filha, Emerson.

Quando Lily esbarra em Atlas ― com quem não fala há quase dois anos ―, parece que finalmente chegou o momento de retomar o relacionamento da adolescência, já que ele também está solteiro e parece retribuir os sentimentos de Lily. Mas apesar de divorciada, Lily não está exatamente livre de Ryle. Culpando Atlas pelo fim de seu casamento, Ryle não está nada disposto a aceitar o novo relacionamento de Lily, ainda mais com Atlas, o último homem que aceitaria ver perto de sua filha e da ex-esposa.

Alternando entre os pontos de vista de Atlas e Lily, É assim que começa retoma logo após o epílogo de É assim que acaba. Revelando mais sobre o passado de Atlas e acompanhando a jornada de Lily para abraçar a sua segunda chance, no amor enquanto lida com um ex-marido ciumento, É assim que começa prova que ninguém entrega uma leitura mais emocionante do que Colleen Hoover.",,
OL41889877M,,"It is a sequel to collen hoover's best selling book ""it ends with us""",
OL47391456M,,Source title: Hopeless (edición limitada a precio especial): Tocando el cielo,
OL26940602M,"Jude was seven years old when her parents were murdered and she and her two sisters were stolen away to live in the treacherous High Court of Faerie. Ten years later, Jude wants nothing more than to belong there, despite her mortality. But many of the fey despise humans. Especially Prince Cardan, the youngest and wickedest son of the High King. To win a place at the Court, she must defy him, and face the consequences.","Title from web page.

Compact discs.

Read by Caitlin Kelly.",
OL46526687M,"Lily, depuis que sa fille Emerson est née, lui a promis que le cycle de la violence s'arrêterait avec elles. Que jamais plus, les femmes de leur famille n'endureraient des abus. Alors elle a pris la décision de quitter son mari et père de sa petite fille. Elle ne s'attendait pas à croiser Atlas, son amour d'adolescente par hasard, et elle ne sait pas quelle place il pourrait occuper dans sa vie. A-t-elle seulement envie de le revoir ? D'avoir à nouveau une vie sentimentale ? De recommencer sa vie et de croire à l'amour éternel, elle qui a appris de la plus dure des façons qu'il était bien difficile à trouver. Atlas n'est plus du tout le même que l'adolescent en perdition qu'elle a connu. Il a un restaurant, a passé de longues années loin d'elle. Leur histoire peut-elle recommencer là où elle s'était arrêtée ?",,
